prefix         , Brute          , Binary         , Trie
               ,    1.52288e-03,     9.23118e-04,     2.43905e-05
n_1            ,    3.47344e-03,     4.61280e-05,     4.26561e-06
n_4            ,    3.47635e-03,     4.58752e-05,     1.51382e-05
notarealword_7 ,    3.34676e-03,     1.05823e-06,     2.94338e-07
notarealword_1 ,    3.37393e-03,     9.60626e-07,     2.03411e-07
nenk           ,    3.53429e-03,     1.43407e-06,     2.75253e-07
n_7            ,    3.45396e-03,     4.69639e-05,     2.04270e-05
notarealword_4 ,    3.37306e-03,     9.35251e-07,     2.26383e-07
notarealword   ,    3.33189e-03,     2.29851e-06,     2.69372e-07
n              ,    2.61451e-03,     1.37098e-05,     4.99686e-06
nenk_1         ,    3.48532e-03,     7.55717e-07,     1.50976e-06
_1             ,    3.70670e-03,     1.27270e-03,     1.14805e-05
_4             ,    3.66648e-03,     1.25270e-03,     2.25477e-05
ne             ,    2.63601e-03,     1.20072e-06,     3.75868e-06
_7             ,    3.69970e-03,     1.25298e-03,     2.74548e-05
ne_1           ,    3.47912e-03,     2.72129e-06,     2.30581e-06
nenk_7         ,    3.44242e-03,     5.92974e-07,     4.49131e-07
ne_7           ,    3.45331e-03,     3.60609e-06,     2.80108e-05
nenk_4         ,    3.47241e-03,     6.43056e-07,     2.37842e-06
ne_4           ,    3.47602e-03,     3.31957e-06,     5.00745e-06
               ,    1.52288e-03,     9.23118e-04,     2.43905e-05
n_1            ,    3.47344e-03,     4.61280e-05,     4.26561e-06
n_4            ,    3.47635e-03,     4.58752e-05,     1.51382e-05
notarealword_7 ,    3.34676e-03,     1.05823e-06,     2.94338e-07
notarealword_1 ,    3.37393e-03,     9.60626e-07,     2.03411e-07
nenk           ,    3.53429e-03,     1.43407e-06,     2.75253e-07
n_7            ,    3.45396e-03,     4.69639e-05,     2.04270e-05
notarealword_4 ,    3.37306e-03,     9.35251e-07,     2.26383e-07
notarealword   ,    3.33189e-03,     2.29851e-06,     2.69372e-07
n              ,    2.61451e-03,     1.37098e-05,     4.99686e-06
nenk_1         ,    3.48532e-03,     7.55717e-07,     1.50976e-06
_1             ,    3.70670e-03,     1.27270e-03,     1.14805e-05
_4             ,    3.66648e-03,     1.25270e-03,     2.25477e-05
ne             ,    2.63601e-03,     1.20072e-06,     3.75868e-06
_7             ,    3.69970e-03,     1.25298e-03,     2.74548e-05
ne_1           ,    3.47912e-03,     2.72129e-06,     2.30581e-06
nenk_7         ,    3.44242e-03,     5.92974e-07,     4.49131e-07
ne_7           ,    3.45331e-03,     3.60609e-06,     2.80108e-05
nenk_4         ,    3.47241e-03,     6.43056e-07,     2.37842e-06
ne_4           ,    3.47602e-03,     3.31957e-06,     5.00745e-06
               ,    1.52288e-03,     9.23118e-04,     2.43905e-05
n_1            ,    3.47344e-03,     4.61280e-05,     4.26561e-06
n_4            ,    3.47635e-03,     4.58752e-05,     1.51382e-05
notarealword_7 ,    3.34676e-03,     1.05823e-06,     2.94338e-07
notarealword_1 ,    3.37393e-03,     9.60626e-07,     2.03411e-07
nenk           ,    3.53429e-03,     1.43407e-06,     2.75253e-07
n_7            ,    3.45396e-03,     4.69639e-05,     2.04270e-05
notarealword_4 ,    3.37306e-03,     9.35251e-07,     2.26383e-07
notarealword   ,    3.33189e-03,     2.29851e-06,     2.69372e-07
n              ,    2.61451e-03,     1.37098e-05,     4.99686e-06
nenk_1         ,    3.48532e-03,     7.55717e-07,     1.50976e-06
_1             ,    3.70670e-03,     1.27270e-03,     1.14805e-05
_4             ,    3.66648e-03,     1.25270e-03,     2.25477e-05
ne             ,    2.63601e-03,     1.20072e-06,     3.75868e-06
_7             ,    3.69970e-03,     1.25298e-03,     2.74548e-05
ne_1           ,    3.47912e-03,     2.72129e-06,     2.30581e-06
nenk_7         ,    3.44242e-03,     5.92974e-07,     4.49131e-07
ne_7           ,    3.45331e-03,     3.60609e-06,     2.80108e-05
nenk_4         ,    3.47241e-03,     6.43056e-07,     2.37842e-06
ne_4           ,    3.47602e-03,     3.31957e-06,     5.00745e-06
